CA,openssl_acc,openssl_reason,polarssl_acc,polarssl_reason,gnutls_acc,gnutls_reason,matrix_acc,matrix_reason,cons
0,T,None,T,None,T,None,T,None,1
1,T,None,T,None,T,None,T,None,1
10,T,None,T,None,T,None,T,None,1
100,T,None,T,None,T,None,T,None,1
1000,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," basic constraints

",1
10000,F," unexpected reason

",F," parsing errors

",F," not CA
unknown reason

",F," parsing errors

",1
1001,F," 18 at 0 depth lookup:self signed certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1002,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
1003,T,None,T,None,T,None,T,None,1
1004,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",1
1005,T,None,T,None,T,None,T,None,1
1006,T,None,T,None,F," The certificate issuer is unknown
unknown reason

",F," distinguished name match

",0
1007,F," unexpected reason

",F," self-signed or not signed by a trusted CA

",F," not CA
unknown reason

",F," basic constraints

",1
1008,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," parsing errors

",1
1009,T,None,T,None,T,None,F," parsing errors

",0
101,F," unexpected reason

",F," parsing errors

",F," not CA
unknown reason

",F," parsing errors

",1
1010,T,None,T,None,T,None,T,None,1
1011,T,None,T,None,T,None,F," parsing errors

",0
1012,F," unexpected reason

",F," self-signed or not signed by a trusted CA

",F," not CA
unknown reason

",F," parsing errors

",1
1013,F," unexpected reason

",F," self-signed or not signed by a trusted CA

",F," The certificate issuer is unknown
unknown reason

",F," parsing errors

",1
1014,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
