CA,openssl_acc,openssl_reason,polarssl_acc,polarssl_reason,gnutls_acc,gnutls_reason,matrix_acc,matrix_reason,cons
10,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
100,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",T,None,0
1000,T,None,F," parsing errors

",T,None,F," parsing errors

",0
1001,F," unexpected reason

",F," parsing errors

",T,None,T,None,0
1004,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1005,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1006,T,None,T,None,T,None,F," parsing errors

",0
1008,T,None,T,None,T,None,F," parsing errors

",0
101,T,None,T,None,T,None,F," parsing errors

",0
1010,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1011,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1012,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1013,F," unexpected reason

",F," self-signed or not signed by a trusted CA

",F," not CA
unknown reason

",F," parsing errors

",1
1015,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1017,T,None,T,None,T,None,F," parsing errors

",0
1018,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1019,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," basic constraints

",1
1020,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1021,T,None,T,None,T,None,F," parsing errors

",0
1022,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," parsing errors

",1
1025,T,None,T,None,T,None,F," xtension (KEY_USAGE)

",0
1026,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1027,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1028,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1029,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," basic constraints

",1
103,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1030,T,None,T,None,T,None,F," xtension (KEY_USAGE)

",0
1033,T,None,T,None,T,None,F," parsing errors

",0
1034,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1035,T,None,T,None,T,None,F," parsing errors

",0
1036,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1037,T,None,F," parsing errors

",T,None,T,None,0
1039,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
104,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," parsing errors

",1
1040,T,None,T,None,T,None,F," parsing errors

",0
1042,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1043,T,None,T,None,T,None,F," parsing errors

",0
1044,F," unexpected reason

",F," self-signed or not signed by a trusted CA

",F," not CA
unknown reason

",F," basic constraints

",1
1048,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
105,T,None,T,None,T,None,F," parsing errors

",0
1050,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," parsing errors

",1
1051,T,None,T,None,T,None,F," parsing errors

",0
1053,F," unexpected reason

",F," self-signed or not signed by a trusted CA

",F," not CA
unknown reason

",F," basic constraints

",1
1054,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1056,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1058,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1059,T,None,T,None,T,None,F," parsing errors

",0
106,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1061,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1062,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1063,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," basic constraints

",1
1068,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1069,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
107,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1070,T,None,T,None,T,None,F," parsing errors

",0
1071,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1074,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," basic constraints

",1
1075,T,None,F," parsing errors

",T,None,T,None,0
1076,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1078,T,None,T,None,T,None,F," xtension (KEY_USAGE)

",0
1079,T,None,T,None,T,None,F," xtension (KEY_USAGE)

",0
1080,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," parsing errors

",1
1081,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1082,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1083,T,None,T,None,T,None,F," xtension (KEY_USAGE)

",0
1084,T,None,T,None,T,None,F," parsing errors

",0
1085,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1088,F," unexpected reason

",F," self-signed or not signed by a trusted CA

",F," not CA
unknown reason

",F," parsing errors

",1
1089,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," basic constraints

",1
109,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1091,T,None,T,None,T,None,F," parsing errors

",0
1092,T,None,F," parsing errors

",T,None,T,None,0
1093,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," basic constraints

",1
1094,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," parsing errors

",1
1096,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1097,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," parsing errors

",1
1098,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
11,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," parsing errors

",1
110,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1101,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1102,T,None,T,None,T,None,F," parsing errors

",0
1104,T,None,T,None,T,None,F," parsing errors

",0
1107,T,None,F," parsing errors

",T,None,F," parsing errors

",0
1108,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1109,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
111,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1110,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1112,T,None,T,None,T,None,F," xtension (KEY_USAGE)

",0
1113,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1114,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1117,T,None,T,None,T,None,F," parsing errors

",0
1119,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
112,T,None,T,None,T,None,F," parsing errors

",0
1120,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1121,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," parsing errors

",1
1122,T,None,T,None,T,None,F," parsing errors

",0
1125,T,None,F," parsing errors

",T,None,T,None,0
1126,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1129,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
113,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," basic constraints

",1
1130,F," unexpected reason

",F," parsing errors

",T,None,T,None,0
1131,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," parsing errors

",1
1132,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",T,None,0
1133,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1135,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1136,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," basic constraints

",1
1137,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1138,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," basic constraints

",1
114,T,None,F," parsing errors

",T,None,T,None,0
1141,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1142,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1143,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," distinguished name match

",1
1144,F," unexpected reason

",F," self-signed or not signed by a trusted CA

",F," not CA
unknown reason

",F," basic constraints

",1
1145,T,None,F," parsing errors

",T,None,T,None,0
1146,F," unexpected reason

",F," parsing errors

",F," unavaliable issuer data

",F," parsing errors

",1
1147,F," 20 at 0 depth lookup: unable to get local issuer certificate

",F," parsing errors

",F," unavaliable issuer data

",F," parsing errors

",1
1148,T,None,F," parsing errors

",T,None,T,None,0
